pub_date,category,puborg,pcode,childtype,title,url,summary
2026-06-03,政策解读,,,,加快农业农村现代化 扎实推进乡村全面振兴——农业农村部、国家发展改革委负责人就《加快农业农村现代化“十五五”规划》答记者问,https://www.gov.cn/zhengce/202606/content_7070977.htm,近期，国务院印发《加快农业农村现代化“十五五”规划》（以下简称《规划》）。日前，农业农村部、国家发展改革委负责人就起草编制、学习贯彻《规划》有关情况回答了记者提问。 问：《规划》出台有什么背景和意义？...
2026-06-03,政策解读,,,,加快农业农村现代化，“十五五”怎么干,https://www.gov.cn/zhengce/202606/content_7070954.htm,国务院近日印发《加快农业农村现代化“十五五”规划》（以下简称《规划》）。如何理解《规划》出台的背景和意义？《规划》在总体目标设定方面有哪些考虑？部署了哪些重要政策和任务举措？围绕这些问题，农业农村部、...
2026-06-02,政策解读,,,,“十五五”时期农业农村现代化这样推进,https://www.gov.cn/zhengce/202606/content_7070941.htm,新华社北京6月2日电 题：“十五五”时期农业农村现代化这样推进 新华社记者王悦阳、胡璐 农业农村现代化关系中国式现代化全局和成色。日前，国务院印发《加快农业农村现代化“十五五”规划》，明确了“十五五”...
2026-06-02,政策解读,,,,《关于进一步健全城市社区卫生服务体系 提升服务能力的通知》政策解读,https://www.gov.cn/zhengce/202606/content_7070926.htm,近日，国家卫生健康委印发了《关于进一步健全城市社区卫生服务体系 提升服务能力的通知》（以下简称《通知》）。现对《通知》有关情况解读如下。 一、《通知》出台的背景是什么？ 2023年，中共中央办公厅、国...
2026-06-02,政策解读,,,,国家能源局有关负责同志就《非化石能源电力消费核算指南（试行）》答记者问,https://www.gov.cn/zhengce/202606/content_7070871.htm,近日，国家发展改革委、国家能源局、生态环境部、国家统计局、国家数据局印发《非化石能源电力消费核算指南（试行）》（发改能源〔2026〕622号，以下简称《指南》）。国家能源局有关负责同志就《指南》接受采...
2026-06-02,国务院文件,国务院,国发〔2026〕14号,农业、林业、水利\农业、畜牧业、渔业,国务院关于印发《加快农业农村现代化“十五五”规划》的通知,https://www.gov.cn/zhengce/zhengceku/202606/content_7070902.htm,国务院关于印发《加快农业农村现代化 “十五五”规划》的通知 国发〔2026〕14号 各省、自治区、直辖市人民政府，国务院各部委、各直属机构： 现将《加快农业农村现代化“十五五”规划》印发给你们，请认真...
2026-06-02,国务院部门文件,国家发展改革委 国家能源局 生态环境部 国家统计局 国家数据局,发改能源〔2026〕622号,国土资源、能源\其他,国家发展改革委等部门关于印发《非化石能源电力消费核算指南（试行）》的通知,https://www.gov.cn/zhengce/zhengceku/202606/content_7070873.htm,国家发展改革委等部门关于印发《非化石能源电力消费核算指南（试行）》的通知 发改能源〔2026〕622号 各省、自治区、直辖市及新疆生产建设兵团发展改革委、能源局、生态环境厅（局）、统计局、数据管理部门...
2026-06-01,政策解读,,,,司法部、国家发展改革委、商务部负责人就《国务院关于对外投资的规定》答记者问,https://www.gov.cn/zhengce/202606/content_7070793.htm,新华社北京6月1日电 题：司法部、国家发展改革委、商务部负责人就《国务院关于对外投资的规定》答记者问 新华社记者 2026年5月5日，国务院总理李强签署第837号国务院令，公布《国务院关于对外投资的规...
2026-06-01,国务院文件,国务院,国令第837号,商贸、海关、旅游\对外经贸合作,国务院关于对外投资的规定,https://www.gov.cn/zhengce/zhengceku/202606/content_7070756.htm,中华人民共和国国务院令 第837号 《国务院关于对外投资的规定》已经2026年4月17日国务院第83次常务会议通过，现予公布，自2026年7月1日起施行。 总理 李强 2026年5月...
2026-06-01,国务院部门文件,工业和信息化部 教育部 科技部 财政部 人力资源社会保障部 农业农村部 国务院国资委 中国科学院 国家自然科学基金委员会,工信部联规〔2026〕109号,劳动、人事、监察\劳动就业,工业和信息化部等九部门关于做好科研助理岗位开发促进高校毕业生就业工作的通知,https://www.gov.cn/zhengce/zhengceku/202606/content_7070847.htm,工业和信息化部等九部门关于做好科研助理岗位开发促进高校毕业生就业工作的通知 工信部联规〔2026〕109号 各省、自治区、直辖市及计划单列市、新疆生产建设兵团工业和信息化、教育、科技、财政、人力资源社...
2026-05-31,政策解读,,,,国务院5月重要政策,https://www.gov.cn/zhengce/202605/content_7070732.htm,5月，国务院贯彻落实党中央决策部署，密集出台多项重要政策。一起关注—— 建设强大国内市场 我国将抓紧出台“六张网”相关规划和实施方案 据国家发展改革委消息，我国将抓紧出台水网、新型电网、算力网、新一代...
2026-05-30,国务院公报,,,,中华人民共和国海关总署公告（2026年第18号） 中华人民共和国海关对海南自由贸易港岛内居民消费的“零关税”进境商品经营场所及 “零关税”进境商品监管暂行办法,https://www.gov.cn/gongbao/2026/issue_12766/202605/content_7070593.html,中华人民共和国海关总署 公 告 2026 年 第 18 号 海关总署制定了《中华人民共和国海关对海南自由贸易港岛内居民消费的“零关税”进境商品经营场所及“零关税”进境商品监管暂行办法》，现予发布。 ...
2026-05-30,国务院公报,,,,人力资源社会保障部 国家发展改革委 农业农村部关于建立常态化防止返贫致贫就业帮扶 机制促进乡村全面振兴的指导意见,https://www.gov.cn/gongbao/2026/issue_12766/202605/content_7070594.html,人力资源社会保障部 国家发展改革委 农业农村部 关于建立常态化防止返贫致贫就业帮扶机制 促进乡村全面振兴的指导意见 人社部发〔2026〕17号 各省、自治区、直辖市及新疆生产建设兵团人力资源社会保...
2026-05-30,国务院公报,,,,中国证券监督管理委员会令（第233号） 私募投资基金信息披露监督管理办法,https://www.gov.cn/gongbao/2026/issue_12766/202605/content_7070595.html,私募投资基金信息披露监督管理办法 （2025年12月30日经中国证监会委务会议审议通过 2026年2月24日中国证监会令第233号公布 自2026年9月1日起施行） 第一章 总 则 第一条 为了规范...
2026-05-30,国务院公报,,,,中华人民共和国国务院令（第838号） 行政法规制定程序条例,https://www.gov.cn/gongbao/2026/issue_12766/202605/content_7070603.html,中华人民共和国国务院令 第 838 号 《行政法规制定程序条例》已经2026年4月24日国务院第84次常务会议修订通过，现予公布，自2026年7月1日起施行。 总 理 李 强 2026年5...
2026-05-30,国务院公报,,,,中华人民共和国交通运输部令（2026年第8号） 交通运输部关于修改《机动车驾驶员培训管理规定》的决定 机动车驾驶员培训管理规定,https://www.gov.cn/gongbao/2026/issue_12766/202605/content_7070597.html,交通运输部关于修改《机动车 驾驶员培训管理规定》的决定 （2026年1月30日经交通运输部部务会议通过 2026年2月6日交通运输部令2026年第8号公布 自2026年3月20日起施行） 交通运输部决...
